city,country,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds,weather_main,weather_description,weather_icon,timezone
Moscow,RU,37.6156,55.7522,20.75,20.58,20.75,20.75,1016,65,1016,998,10000,1.4,124,2.07,74,Clouds,broken clouds,04d,10800
Saint Petersburg,RU,30.2642,59.8944,16.7,16.88,16.7,16.7,1010,94,1010,1011,10000,3.18,40,6.03,100,Rain,light rain,10d,10800
Novosibirsk,RU,82.9344,55.0411,22.49,22.67,22.49,22.49,1009,72,1009,990,10000,1.55,125,2.1,99,Clouds,overcast clouds,04d,25200
Yekaterinburg,RU,60.6125,56.8575,15.16,15.26,15.16,15.16,1006,97,1006,973,10000,2.51,21,5.76,100,Rain,light rain,10d,18000
Kazan,RU,49.1221,55.7887,16.45,16.21,16.45,16.45,1011,79,1011,998,10000,3.53,353,10.12,3,Clear,clear sky,01d,10800
Vladimir,RU,40.3966,56.1366,17.59,17.42,17.59,17.59,1016,77,1016,1000,10000,0.85,3,1.16,29,Clouds,scattered clouds,03d,10800
Nizhny Novgorod,RU,44.002,56.3287,16.3,16.1,16.3,16.3,1015,81,1015,1005,10000,1.78,5,4.35,5,Clear,clear sky,01d,10800
Samara,RU,50.0,53.0,17.44,17.35,17.44,17.44,1009,81,1009,1000,10000,4.16,343,9.79,0,Clear,clear sky,01d,14400
Omsk,RU,73.4,55.0,19.4,19.41,19.4,19.4,1006,77,1006,995,10000,1.92,255,2.76,31,Clouds,scattered clouds,03d,21600
Krasnoyarsk,RU,92.7917,56.0097,25.61,25.61,25.61,25.61,1009,53,1009,981,10000,1.39,285,2.11,79,Clouds,broken clouds,04d,25200
Rostov-on-Don,RU,39.7139,47.2364,19.91,19.5,19.91,19.91,1013,59,1013,1007,10000,2.76,51,6.62,0,Clear,clear sky,01d,10800
Ufa,RU,56.0375,54.775,15.29,15.17,15.29,15.29,1006,88,1006,992,10000,2.64,359,5.51,44,Clouds,scattered clouds,03d,18000
Volgograd,RU,44.5018,48.7194,20.87,20.66,20.87,20.87,1012,63,1012,1005,10000,3.7,352,6.39,0,Clear,clear sky,01d,10800
Perm,RU,56.2855,58.0174,15.52,15.61,15.52,15.52,1008,95,1008,991,10000,1.62,13,5.76,100,Clouds,overcast clouds,04d,18000
Voronezh,RU,39.17,51.6664,20.93,21.04,20.93,20.93,1015,75,1015,1000,10000,1.32,340,2.17,0,Clear,clear sky,01d,10800
Krasnodar,RU,40.0,45.0,16.75,16.54,16.75,16.75,1011,79,1011,1001,10000,3.51,88,6.43,0,Clear,clear sky,01d,10800
Saratov,RU,46.0333,51.5667,16.52,16.45,16.52,16.52,1012,85,1012,1004,10000,3.97,327,7.34,0,Clear,clear sky,01d,14400
Tyumen,RU,65.5272,57.1522,17.87,17.93,17.87,17.87,1005,85,1005,995,10000,2.23,63,3.66,86,Clouds,overcast clouds,04d,18000
Tolyatti,RU,49.3461,53.5303,16.86,16.66,16.86,16.86,1010,79,1010,1003,10000,6.23,344,11.73,0,Clear,clear sky,01d,14400
Izhevsk,RU,53.2333,56.85,16.18,16.31,16.18,16.18,1009,94,1009,993,10000,1.91,358,3.96,95,Clouds,overcast clouds,04d,14400
London,GB,-0.1257,51.5085,16.84,16.51,15.57,17.38,1020,74,1020,1017,10000,3.13,267,6.71,4,Clear,clear sky,01n,3600
Paris,FR,2.3488,48.8534,16.18,15.94,15.04,17.43,1025,80,1025,1015,10000,2.42,306,5.02,0,Clear,clear sky,01n,7200
Berlin,DE,13.4105,52.5244,14.99,14.97,12.83,16.71,1018,93,1018,1013,10000,2.24,257,3.58,0,Clear,clear sky,01n,7200
Madrid,ES,-3.7026,40.4165,19.63,18.75,17.9,20.15,1021,42,1021,947,10000,3.13,38,8.05,46,Clouds,scattered clouds,03n,7200
Rome,US,-85.1647,34.257,26.79,29.36,26.79,26.79,1018,81,1018,991,10000,1.08,62,1.03,100,Clouds,overcast clouds,04n,-14400
Amsterdam,NL,4.8897,52.374,17.45,17.47,16.58,18.27,1019,85,1019,1020,10000,4.02,185,5.36,77,Clouds,broken clouds,04n,7200
Brussels,BE,4.3488,50.8504,15.23,15.13,14.32,15.99,1022,89,1022,1016,10000,3.87,217,8.38,13,Clouds,few clouds,02n,7200
Vienna,AT,16.3721,48.2085,19.04,19.01,17.33,20.49,1018,77,1018,991,10000,9.83,353,18.33,94,Clouds,overcast clouds,04n,7200
Prague,CZ,14.4208,50.088,15.22,15.25,14.14,15.98,1020,94,1020,986,10000,1.79,191,2.24,86,Clouds,overcast clouds,04n,7200
Warsaw,PL,21.0118,52.2298,17.53,17.74,16.62,19.24,1014,92,1014,1003,10000,3.67,326,6.13,100,Clouds,overcast clouds,04d,7200
Budapest,HU,19.0399,47.498,21.3,21.52,20.62,22.38,1012,78,1012,992,10000,2.24,353,4.47,14,Clouds,few clouds,02n,7200
Lisbon,PT,-9.1333,38.7167,23.3,23.36,21.98,23.64,1016,64,1016,1008,10000,1.34,190,1.79,53,Clouds,broken clouds,04n,3600
Stockholm,SE,18.0649,59.3326,13.92,13.72,12.36,13.92,1013,90,1013,1009,10000,0.51,235,0.45,48,Clouds,scattered clouds,03d,7200
Oslo,NO,10.7461,59.9127,11.63,10.44,11.63,11.63,1012,61,1012,989,10000,0.62,23,0.63,91,Clouds,overcast clouds,04d,7200
Copenhagen,DK,12.5655,55.6759,14.52,14.35,14.52,14.52,1017,89,1017,1015,10000,2.62,291,4.75,5,Clear,clear sky,01n,7200
Helsinki,FI,24.9355,60.1695,15.94,15.99,15.03,16.67,1011,92,1011,1009,4365,11.18,108,12.52,100,Clouds,overcast clouds,04d,10800
Athens,GR,23.7162,37.9795,26.15,26.15,24.3,27.04,1008,58,1008,985,10000,0.45,82,0.89,0,Clear,clear sky,01n,10800
Dublin,US,-121.9358,37.7021,19.77,19.34,16.88,22.52,1010,59,1010,985,10000,2.68,282,7.15,2,Clear,clear sky,01d,-25200
Zurich,CH,8.55,47.3667,16.58,16.51,14.36,17.38,1022,85,1022,964,10000,1.34,264,0.89,81,Clouds,broken clouds,04n,7200
Barcelona,ES,2.159,41.3888,24.87,24.9,23.41,25.74,1020,57,1020,1011,10000,0.45,354,2.24,52,Clouds,broken clouds,04n,7200
Beijing,CN,116.3972,39.9075,29.42,31.26,29.42,29.42,1006,57,1006,1001,10000,1.17,93,1.15,2,Clear,clear sky,01d,28800
Shanghai,CN,121.4581,31.2222,28.02,31.84,28.02,28.02,1010,78,1010,1009,10000,2.18,192,2.41,100,Clouds,overcast clouds,04d,28800
Shenzhen,CN,114.0683,22.5455,32.66,39.66,30.21,32.96,1009,75,1009,1001,10000,4.3,106,6.03,21,Clouds,few clouds,02d,28800
Guangzhou,CN,113.25,23.1167,31.9,38.08,31.9,31.9,1009,64,1009,1009,10000,4.83,113,6.01,35,Clouds,scattered clouds,03d,28800
Harbin,CN,126.65,45.75,28.38,28.89,28.38,28.38,1005,50,1005,990,10000,4.23,189,4.69,73,Clouds,broken clouds,04d,28800
Tokyo,JP,139.6917,35.6895,21.15,21.78,20.34,22.01,1006,94,1006,1004,6926,5.43,12,7.48,100,Rain,heavy intensity rain,10d,32400
Seoul,KR,126.9778,37.5683,26.94,27.48,26.94,26.94,1010,52,1010,1001,10000,0.73,218,1.21,100,Clouds,overcast clouds,04d,32400
Bangkok,TH,100.5167,13.75,26.62,26.62,26.62,26.62,1006,69,1006,1007,10000,1.38,197,2.49,100,Clouds,overcast clouds,04d,25200
Singapore,SG,103.8501,1.2897,28.29,33.91,28.29,28.29,1011,86,1011,1010,8025,4.58,187,5.56,100,Clouds,overcast clouds,04d,28800
Hong Kong,HK,114.1577,22.2855,30.57,37.57,30.27,33.02,1010,77,1010,1004,10000,5.81,90,12.07,85,Clouds,overcast clouds,04d,28800
Taipei,TW,121.5319,25.0478,33.84,40.84,33.84,33.84,1009,60,1009,991,10000,0.89,340,4.02,73,Clouds,broken clouds,04d,28800
Kuala Lumpur,MY,101.6865,3.1431,30.12,37.12,29.12,30.7,1010,79,1010,998,10000,2.02,158,2.39,80,Clouds,broken clouds,04d,28800
Jakarta,ID,106.8451,-6.2146,29.13,30.22,28.5,30.5,1013,53,1013,1009,10000,0.45,230,0.45,5,Clear,clear sky,01d,25200
Manila,PH,120.9822,14.6042,32.64,39.64,31.14,32.85,1010,73,1010,1013,10000,0.89,152,7.6,100,Clouds,overcast clouds,04d,28800
Hanoi,VN,105.8412,21.0245,30.62,35.52,30.62,30.62,1007,66,1007,1007,10000,1.7,107,2.45,73,Clouds,broken clouds,04d,25200
New York,US,-74.006,40.7143,29.97,35.45,26.68,31.88,1014,72,1014,1013,10000,1.79,159,2.68,99,Clouds,overcast clouds,04n,-14400
Los Angeles,US,-118.2437,34.0522,19.99,19.98,17.91,22.0,1012,74,1012,993,10000,1.34,234,0.45,0,Clear,clear sky,01d,-25200
Chicago,US,-87.65,41.85,30.83,37.44,29.75,31.13,1014,71,1014,993,10000,2.68,229,3.13,0,Clear,clear sky,01n,-18000
Houston,US,-95.3633,29.7633,29.8,35.26,28.28,30.63,1014,73,1014,1012,10000,1.79,153,4.02,19,Clouds,few clouds,02n,-18000
Phoenix,US,-112.074,33.4484,35.53,32.84,34.35,36.49,1006,11,1006,964,10000,6.96,243,7.88,0,Clear,clear sky,01d,-25200
Toronto,CA,-79.4163,43.7001,26.38,26.38,25.05,26.81,1013,72,1013,997,10000,0.45,265,1.79,0,Clear,clear sky,01n,-14400
Vancouver,CA,-123.1193,49.2497,18.12,17.55,17.38,18.87,1016,60,1016,1008,10000,4.02,140,,68,Clouds,broken clouds,04d,-25200
Montreal,CA,-73.5878,45.5088,23.33,23.96,21.9,23.96,1009,86,1009,1006,10000,1.79,270,3.13,100,Rain,moderate rain,10n,-14400
Calgary,CA,-114.0853,51.0501,14.66,14.24,13.9,15.92,1007,79,1007,882,10000,0.45,20,0.89,85,Clouds,overcast clouds,04d,-21600
Ottawa,CA,-75.6981,45.4112,22.63,23.48,21.73,22.91,1010,97,1010,1000,10000,1.53,99,1.42,64,Clouds,broken clouds,04n,-14400
Sao Paulo,BR,-46.6361,-23.5475,17.27,17.43,17.27,21.92,1022,91,1022,932,10000,0.45,5,0.89,0,Clear,clear sky,01n,-10800
Rio de Janeiro,BR,-43.2075,-22.9028,26.17,26.17,26.17,26.17,1020,77,1020,1021,10000,1.72,330,1.82,0,Clear,clear sky,01n,-10800
Buenos Aires,AR,-58.3772,-34.6132,7.96,7.96,7.1,8.4,1030,69,1030,1029,10000,0.45,135,1.79,100,Clouds,overcast clouds,04n,-10800
Lima,PE,-77.0282,-12.0432,20.5,20.75,20.5,20.5,1012,82,1012,985,10000,3.71,166,3.36,16,Clouds,few clouds,02n,-18000
Bogota,CO,-74.0817,4.6097,14.35,13.93,13.59,14.47,1018,80,1018,739,10000,1.46,134,2.2,91,Clouds,overcast clouds,04n,-18000
Santiago,CL,-70.6483,-33.4569,7.12,6.54,6.7,8.86,1019,68,1019,931,10000,1.36,231,0.91,1,Clear,clear sky,01n,-14400
Caracas,VE,-66.8792,10.488,22.6,23.03,22.6,22.6,1015,81,1015,898,10000,1.34,91,3.13,9,Clear,clear sky,01n,-14400
Quito,EC,-78.5249,-0.2299,11.38,10.77,11.38,11.38,1016,84,1016,723,10000,1.77,112,2.45,100,Clouds,overcast clouds,04n,-18000
Montevideo,UY,-56.1674,-34.8335,8.74,5.22,8.74,8.74,1028,72,1028,1025,10000,7.35,162,9.94,100,Clouds,overcast clouds,04n,-10800
La Paz,BO,-68.15,-16.5,3.88,1.64,3.88,3.88,1023,80,1023,622,10000,2.43,51,2.37,16,Clouds,few clouds,02n,-14400
Cairo,EG,31.2497,30.0626,25.23,25.61,25.23,25.23,1009,69,1009,1004,10000,3.81,358,5.32,0,Clear,clear sky,01n,10800
Lagos,NG,3.75,6.5833,23.45,24.38,23.45,23.45,1013,97,1013,1013,10000,1.12,260,1.2,90,Clouds,overcast clouds,04n,3600
Nairobi,KE,36.8167,-1.2833,13.5,13.26,13.5,13.5,1018,90,1018,837,10000,0.23,193,0.83,100,Clouds,overcast clouds,04n,10800
Johannesburg,ZA,28.0436,-26.2023,8.26,5.35,8.24,8.75,1015,93,1015,825,10000,5.15,336,12.95,3,Clear,clear sky,01n,7200
Cape Town,ZA,18.4232,-33.9258,9.51,9.51,8.27,10.88,1022,89,1022,1020,10000,0.45,283,0.45,17,Clouds,few clouds,02n,7200
Casablanca,MA,-7.6192,33.5928,22.96,23.61,22.96,22.96,1011,88,1011,1003,10000,1.79,280,,4,Clear,clear sky,01n,3600
Addis Ababa,ET,38.7469,9.025,13.79,13.31,13.79,13.79,1017,80,1017,770,10000,0.98,243,1.56,17,Clouds,few clouds,02n,10800
Dar es Salaam,TZ,39.2695,-6.8235,20.13,20.24,20.13,20.13,1017,78,1017,1015,10000,1.83,223,2.45,86,Clouds,overcast clouds,04n,10800
Accra,GH,-0.1969,5.556,24.57,25.3,24.57,24.57,1014,85,1014,1011,10000,4.32,234,5.96,99,Clouds,overcast clouds,04n,0
Tunis,TN,9.0,34.0,28.66,29.94,28.66,28.66,1015,56,1015,1004,10000,4.11,94,5.99,0,Clear,clear sky,01n,3600
Sydney,AU,151.2073,-33.8679,20.99,20.71,19.97,21.84,1012,60,1012,1007,10000,1.34,350,8.49,0,Clear,clear sky,01d,36000
Melbourne,US,-80.6081,28.0836,28.14,32.62,26.69,28.92,1014,81,1014,1016,10000,1.79,76,4.47,3,Clear,clear sky,01n,-14400
Brisbane,AU,153.0281,-27.4679,22.38,22.55,21.46,23.33,1022,72,1022,1016,10000,2.24,280,2.68,51,Clouds,broken clouds,04d,36000
Auckland,NZ,174.7667,-36.8667,14.59,13.91,13.8,15.17,1033,69,1033,1029,10000,3.13,347,4.47,0,Clear,clear sky,01d,43200
Wellington,NZ,174.7756,-41.2866,10.95,10.09,10.87,12.03,1031,76,1031,1019,10000,6.71,7,12.07,49,Clouds,scattered clouds,03d,43200
Dubai,AE,55.3047,25.2582,30.77,34.13,30.77,30.77,997,59,997,996,10000,2.64,198,2.66,6,Clear,clear sky,01d,14400
Doha,QA,51.5333,25.2867,31.38,30.34,31.38,31.38,998,32,998,996,10000,4.97,285,6.95,85,Clouds,overcast clouds,04d,10800
Riyadh,SA,46.7219,24.6877,30.44,28.48,30.44,30.44,1003,12,1003,934,10000,3.85,337,4.37,6,Clear,clear sky,01d,10800
Abu Dhabi,AE,54.3667,24.4667,32.01,39.01,32.01,32.01,998,67,998,998,10000,0.94,25,1.4,5,Clear,clear sky,01d,14400
Muscat,OM,58.5922,23.6139,29.17,34.99,29.17,29.17,998,79,998,989,10000,1.73,31,2.16,41,Clouds,scattered clouds,03d,14400
Istanbul,TR,28.9833,41.0351,25.48,26.69,23.42,25.52,1008,100,1008,1000,10000,2.06,14,3.94,9,Clear,clear sky,01n,10800
Ankara,TR,32.8543,39.9199,20.11,19.69,16.8,20.11,1010,58,1010,891,10000,1.21,66,1.31,0,Clear,clear sky,01n,10800
Tehran,IR,51.4215,35.6944,24.51,24.11,24.51,24.51,1010,42,1010,861,10000,2.59,192,1.79,2,Clear,clear sky,01d,12600
Baghdad,IQ,44.4009,33.3406,33.31,31.11,33.31,33.31,998,18,998,994,10000,8.04,312,14.04,0,Clear,clear sky,01d,10800
Amman,JO,35.945,31.9552,18.68,18.51,18.68,18.68,1010,73,1010,919,10000,3.28,271,3.7,0,Clear,clear sky,01n,10800
Mumbai,IN,72.8479,19.0144,27.83,32.42,27.83,27.83,1005,85,1005,1005,4259,8.45,257,9.84,100,Rain,light rain,10d,19800
Delhi,IN,77.2167,28.6667,32.76,36.97,32.76,32.76,1001,54,1001,976,10000,1.8,74,1.62,30,Clouds,scattered clouds,03d,19800
Bangalore,IN,77.6033,12.9762,22.45,22.92,22.28,22.5,1010,83,1010,913,10000,6.95,265,13.54,100,Clouds,overcast clouds,04d,19800
Chennai,IN,80.2785,13.0878,30.92,34.92,30.05,31.09,1006,61,1006,1005,10000,2.24,271,2.68,100,Clouds,overcast clouds,04d,19800
Kolkata,IN,88.3697,22.5697,32.42,38.07,32.42,32.42,1001,60,1001,1000,10000,3.94,136,4.28,100,Clouds,overcast clouds,04d,19800
Islamabad,PK,73.1338,33.7104,30.84,37.47,30.84,30.84,1004,71,1004,923,10000,2.95,77,2.77,46,Clouds,scattered clouds,03d,18000
Lahore,PK,74.3436,31.5497,33.6,38.18,33.6,33.6,1000,52,1000,976,10000,4.84,100,4.59,29,Clouds,scattered clouds,03d,18000
Dhaka,BD,90.4074,23.7104,30.3,35.52,30.3,30.3,1002,69,1002,1001,10000,4.24,146,4.99,100,Clouds,overcast clouds,04d,21600
Colombo,LK,79.8478,6.9319,29.46,35.56,29.46,29.46,1010,78,1010,1010,10000,4.96,250,7.8,13,Clouds,few clouds,02d,19800
Kathmandu,NP,85.3167,27.7167,23.51,24.11,23.51,23.51,1006,84,1006,846,10000,0.76,288,0.7,91,Clouds,overcast clouds,04d,20700
Murmansk,RU,34.0,68.0,12.33,11.58,12.33,12.33,1013,75,1013,981,10000,0.96,323,1.12,22,Rain,light rain,10n,10800
Arkhangelsk,RU,40.5433,64.5401,15.38,14.75,15.38,15.38,1016,68,1016,1014,10000,2.03,157,4.1,98,Clouds,overcast clouds,04d,10800
Sochi,RU,39.7303,43.6,22.12,22.16,22.12,22.12,1010,68,1010,994,10000,2.26,36,1.97,0,Clear,clear sky,01d,10800
Vladivostok,RU,131.8735,43.1056,15.37,15.21,15.37,15.37,1013,86,1013,1011,10000,5.06,191,7.72,99,Clouds,overcast clouds,04d,36000
Irkutsk,RU,104.2964,52.2978,24.69,24.62,24.69,24.69,1009,54,1009,961,10000,2.73,303,4.04,23,Clouds,few clouds,02d,28800
Yakutsk,RU,129.7331,62.0339,27.84,27.34,27.84,27.84,1004,37,1004,993,10000,4.29,85,4.33,9,Clear,clear sky,01d,32400
Petropavlovsk-Kamchatsky,RU,158.6483,53.0452,11.87,11.02,11.87,11.87,1018,73,1018,1000,10000,4.42,144,4.69,78,Clouds,broken clouds,04d,43200
Kaliningrad,RU,20.511,54.7065,15.32,15.34,15.32,15.32,1014,93,1014,1011,10000,2.35,327,5.68,100,Clouds,overcast clouds,04d,7200
Smolensk,RU,33.0,55.0,16.39,16.28,16.39,16.39,1014,84,1014,990,10000,2.28,135,3.2,92,Clouds,overcast clouds,04d,10800
